"ID","zmax","zmean","zsd","zskew","zkurt","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9","itot","imax","imean","isd","iskew","ikurt","ipground","ipcumzq10","ipcumzq30","ipcumzq50","ipcumzq70","ipcumzq90","p1th","p2th","p3th","p4th","p5th","pground","n","area"
"7088",31.45536,10.9021292356646,12.6860586377666,0.426229751476899,1.32227904395726,41.9953596287703,45.5750745773948,-0.012192,-0.006096,-0.003048,0,0,0.003048,0.003048,0.009144,0.018288,0.088392,4.46958720000003,14.6230848,21.3835488,23.8329216,25.630632,27.063192,28.0239216,28.7847024,29.4656256,44.9578143832865,46.4041783848935,48.372840498192,50.0200883889112,52.0289272800321,54.4797107271997,59.0598633989554,68.2201687424669,84.451586982724,80052,111,26.5336426914153,21.6629200982684,0.697257742511363,2.42750317409581,75.5733773047519,18.6603707590066,59.4001399090591,80.1191725378504,92.4811372607805,97.7089891570479,60.6231355651309,31.9522704673517,6.82797480941332,0.530328140536957,0.0662910175671197,46.9671859463043,3017,1252.45685604603
"H3B",29.300424,8.14908600979859,10.4843453621898,0.810942498502301,1.97139897774452,36.8263473053892,45.0462710941753,-0.012192,-0.006096,-0.003048,0,0,0.003048,0.006096,0.009144,0.03048,0.141732,2.0479512,6.44347200000001,9.4102428,13.1128008,18.541746,21.8120976,24.2380008,25.9436616,27.1678908,45.6029313790806,49.9333777481679,56.2624916722185,61.2591605596269,64.9566955363091,68.1545636242505,72.5516322451699,79.8134576948701,90.0399733510993,108299,89,29.4771366358193,22.1752332364888,0.494560226663718,2.03793277165428,69.5278811438702,19.6003656543458,53.0623551464002,75.7809398055384,91.8771179789287,97.8273114248516,65.7321720195972,27.7354382144801,6.12411540555253,0.408274360370169,0,45.2367991290147,3674,1259.93993355453
"H3_1A",25.813512,14.6525775716814,7.30374424618198,-0.909699989927159,2.71429562598282,61.4641995172969,85.8246178600161,-0.006096,0.006096,5.34009600000001,9.0391488,11.381232,12.7625856,13.8830304,14.9217888,15.965424,16.864584,17.590008,18.2191152,18.8308488,19.528536,20.168616,20.860512,21.476208,22.18944,23.1270048,8.40061845043807,9.05342724617763,12.1285002576877,17.2135371929222,26.009276756571,38.6875107369868,56.0041230029205,77.1001546126095,95.086754853118,150145,79,24.1584875301689,16.421120080834,0.402964290909682,2.10749288622834,6.53301808252023,10.3912884211928,25.6079123513937,46.3165606580306,70.5471377668254,90.9261047653935,67.9002413515688,24.3604183427192,6.75784392598552,0.933226065969429,0.0482703137570394,7.22445695897023,6215,1260.57367578068
"H3",26.255472,11.8275583809524,7.5259660044503,-0.409677405554867,1.91022771415819,59.3298059964727,78.4567901234568,-0.024384,0,0.021336,0.3048,5.757672,8.4969096,10.34796,11.6909088,12.6356364,13.485876,14.377416,15.233904,16.090392,16.8725088,17.657064,18.647664,19.754088,20.8638648,22.0798644,13.8479441427463,16.7765709852599,21.5089216446858,28.9371605896043,42.8141970519783,59.5907680372382,76.5612878200155,89.6431342125679,98.7490302560124,241609,79,21.3059082892416,15.4867515879211,0.683125738986445,2.54463184780299,9.98017457958934,10.723110480156,27.0147221336954,49.472908707871,72.6218808074203,89.774801435377,62.4162257495591,29.2504409171076,7.72486772486772,0.608465608465608,0,10.4938271604938,11340,1269.03943398653
"H6A",36.094416,13.6958087579206,14.550422202804,0.232656392402668,1.18139706669549,46.46775351174,49.5334768789091,-0.009144,0,0.003048,0.012192,0.039624,0.064008,0.088392,0.115824,0.155448,1.231392,17.7808128,24.009096,26.7242544,28.4018736,29.547312,30.580584,31.4376816,32.3996304,33.5688432,45.9129451667609,47.1113623516111,48.1062747314867,49.1237987563595,50.5483323911815,53.0921424533635,58.0101752402487,68.9315997738835,89.3725268513284,187026,95,19.1762534604737,16.5481375157478,1.10224425303329,3.56161595130962,36.6884818153626,21.8108712157668,50.4512741543956,81.3197095590987,90.1243677349673,96.7255889555463,60.9863631703066,31.856864554496,6.71588229262791,0.440889982569466,0,22.2495642366451,9753,1263.94775542002
"H1_END?",33.524952,12.0288796861562,13.9972830829001,0.377303985309501,1.23419952458718,42.7385892116183,43.6816295737458,-0.01524,-0.006096,-0.003048,0,0.003048,0.006096,0.0106680000000003,0.024384,0.082296,0.176784,0.589788000000001,20.860512,24.97836,26.554176,27.910536,29.172408,30.275784,30.918912,31.747968,47.4715261958998,47.8815489749431,48.246013667426,48.7927107061503,49.8861047835991,51.3439635535307,54.0318906605923,64.9202733485194,81.4123006833713,54297,89,20.4817050169747,17.5497122773095,1.22421049367632,4.21166627575301,63.9206585999227,20.1355507670774,50.7505018693482,76.9490027073319,91.1744663609408,97.1932150947566,58.3176159939645,33.8362881931347,7.31799321010939,0.528102602791399,0,42.3613730667673,2651,990.196138516029
"7102",29.294328,14.4778130797359,8.09172507677166,-0.617730320873687,2.34753083282587,59.9035043169121,82.5418994413408,-0.012192,0.003048,0.115824,7.687056,10.812018,12.294108,13.451586,14.468856,15.249144,16.087344,16.828008,17.526,18.266664,19.42338,20.690586,21.866352,22.87143,23.711916,25.105614,10.8961163716207,11.9665157129134,15.2600521476602,21.8334019486757,36.5994236311239,57.129134074379,72.1010017839989,87.5257307533965,97.7494167695897,148033,79,18.7954545454545,13.7507401348747,0.745308585442448,2.79125263110082,6.63838468449603,9.4505954753332,25.5861868637398,48.8316794228314,72.1670168138185,91.5140542987037,60.2971051295074,29.7105129507364,8.76079228034535,1.14271203656679,0.0761808024377857,8.69730827831386,7876,1259.93312488562
"H1_END2?",33.049464,17.7203903034163,9.12363315475442,-0.921372314209171,2.68785316994764,62.1598147075854,83.6711059640996,-0.003048,0.006096,0.231648,11.7384576,14.779752,16.300704,17.279112,18.071592,18.7761372,19.661124,21.083016,22.3582992,23.213568,23.905464,24.55164,25.2545088,25.935432,27.0275304,28.3026612,11.4504988488104,12.2640061396777,13.5993860322333,17.2371450498849,26.8917881811205,47.5518035303147,62.4251726784344,86.9378357636224,98.6032233307751,161653,79,23.4008396062536,15.1369458047033,0.315985898193778,2.05025623292382,7.62559309137473,7.25875795685821,20.8248532350157,43.0892096032861,62.4924993659258,86.0949069921375,65.9814707585408,26.3896931094383,6.87608569774175,0.752750434279097,0,10.4371742906775,6908,1261.32897120514
"EXCLOS",29.67228,17.3092955323969,8.44139181393989,-1.12687909871116,3.00505855375682,66.6515632079746,84.6246790515028,-0.003048,0.006096,0.408432,12.137136,14.49324,16.203168,17.736312,18.824448,19.699224,20.43684,21.037296,21.512784,22.033992,22.57044,23.106888,23.814024,24.438864,25.188672,26.087832,9.97586484312148,10.5390185036203,11.3113435237329,14.4489139179405,21.3193885760257,30.9895414320193,49.3161705551086,78.2139983909895,96.9106999195495,147882,79,22.3352967829633,15.387255099849,0.565918067888997,2.53723522579394,6.78852057721697,8.09158653521051,21.8363289649856,42.7746446491121,67.5721183105449,90.5262303728648,66.8781150883552,25.6456728590847,6.79655641141821,0.664552182449781,0.0151034586920405,9.13759250868449,6621,1261.45678708497
